vocabulary_id,Unnamed: 0,term,hateful_meaning,nonhateful_meaning,is_unambiguous,is_unambiguous_in,average_offensiveness,language,plural_of,variant_of,transliteration_of,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class,number_of_sightings,number_of_sightings_this_year,number_of_sightings_this_month,created_on,updated_on,term_lemma
D8oLjb2Ey,382,chinks,"A person of Chinese descent. Considered extremely derogatory, exemplified by a US school that had to stop using the term as a sports mascot in 1980.","A crack or gouge, particularly in a wall",False,,100.0,eng,chink,,,True,False,False,False,False,False,False,206,55,4,2018-11-01 20:33:58,2019-01-07 18:04:24,chink
uUgxzw3te,383,boojie,An American Indian,"A middle-class American, derived from bourgeois",False,,65.0,eng,,,,False,True,False,False,False,False,True,0,0,0,2014-02-11 15:47:03,2019-01-07 17:56:03,boojie
Q2cAUGjUq,384,black dago,[1] A Sicilian [2] A darker-skinned Italian [3] An Italian of allegedly African ancestry,,True,,76.0,eng,,,,True,True,False,False,False,False,False,1,0,0,2013-12-10 20:56:33,2019-01-07 17:48:50,black dago
EJiAQAPo2,385,bitches,A human female,A female dog,False,,,eng,bitch,,,False,False,False,True,False,False,False,565,133,20,2018-11-01 20:33:40,2019-01-07 17:48:21,bitch
GmTur37KQ,386,bitch,A human female,A female dog,False,,26.0,eng,,,,False,False,False,True,False,False,False,553,122,15,2013-05-16 14:35:55,2019-01-07 17:48:12,bitch
742NbzFMT,387,jit,"A black person, particularly a young black person.",,False,,50.0,eng,,,,False,True,False,False,False,False,False,1,0,0,2018-05-24 14:00:35,2019-01-04 17:52:08,jit
UVWMgLXLw,388,toad,A black person,An amphibian,False,,73.0,eng,,,,False,True,False,False,False,False,False,0,0,0,2018-11-24 22:36:02,2018-11-24 22:36:02,toad
vF4c6PAVb,389,khazar,Perpetuates false claim that Ashkenazi Jews are the result of a mass conversion in Khazaria to undermine Jewish national claims to Israel,Reference to historical Khazars. There is no benign meaning in application to a Jewish person today.,False,,87.0,eng,,,,True,True,True,False,False,False,False,1017,9,0,2013-04-29 23:41:25,2018-11-15 15:10:36,khazar
6FZyrdUXX,390,Zionazi,"Contraction of Zionist and Nazi, making a false comparison between Jews who support Israel's right to exist and Nazis.",,True,,86.0,eng,,,,True,True,True,False,False,False,False,2632,27,0,2013-04-09 07:48:35,2018-11-15 15:06:44,zionazi
QG9v7Cvqh,391,kike,"An Ashkenazi Jew (though typically generalized to all Jews). From kikel, Yiddish for 'circle'. Illiterate immigrant Jews signed legal documents with an 'O' (similar to an 'X').",,False,,98.0,eng,,,,False,True,True,False,False,False,False,149,6,0,2013-07-20 20:37:31,2018-11-15 06:37:39,kike
HpgGojWdy,392,sand niglet,A child of Middle Eastern descent,,True,,99.0,eng,,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:39:44,2018-11-01 20:39:44,sand niglet
DLFeCwJMW,393,sand niglets,A child of Middle Eastern descent,,True,,,eng,sand niglet,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:39:44,2018-11-01 20:39:44,sand niglets
sEMTfxuxh,394,Zionazis,A Jew living in Israel,,True,,,eng,Zionazi,,,True,False,True,False,False,False,False,326,48,7,2018-11-01 20:38:57,2018-11-01 20:38:57,zionazis
zuCuemGaE,395,zipperheads,"An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon, Apocalypse Now, Full Metal Jacket and Gran Torino. The phrase 'zips in the wire' from Platoon has also been used outside of this context.",,False,,,eng,zipperhead,,,False,True,False,False,False,False,False,65,17,1,2018-11-01 20:38:57,2018-11-01 20:38:57,zipperheads
wcqnkmq4p,396,zippoheads,"An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon, Apocalypse Now, Full Metal Jacket and Gran Torino. The phrase 'zips in the wire' from Platoon has also been used outside of this context.",,False,,,eng,zippohead,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:57,2018-11-01 20:38:57,zippoheads
eoqmfHkNC,397,zips,"An Asian person. Used by American military personnel during the Korean War and Vietnam War. Also seen in the films Platoon, Apocalypse Now, Full Metal Jacket and Gran Torino. The phrase 'zips in the wire' from Platoon has also been used outside of this context.",[1] Go quickly [2] A fastener on an article of clothing,False,,,eng,zip,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:57,2018-11-01 20:38:57,zip
gitNpNAas,398,ZOG lovers,Used by white supremacists to denote one who is subservient to Jewish people.,,True,,,eng,ZOG lover,,,False,True,False,False,False,False,False,1,0,0,2018-11-01 20:38:57,2018-11-01 20:38:57,zog lover
wrUHJXwvn,399,zebras,A person of mixed Caucasian and black parentage.,A mammal,False,,50.0,eng,zebra,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:56,2018-11-01 20:38:56,zebra
QYqdHchmG,400,zigabos,"A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.",,True,,50.0,eng,zigabo,,,False,True,False,False,False,False,False,1,0,0,2018-11-01 20:38:56,2018-11-01 20:38:56,zigabos
UsbtrtiyQ,401,ziojews,Derogatory term for a Jewish zionist or those being accused of such,,True,,,eng,ziojew,,,False,True,True,False,False,False,False,22,9,3,2018-11-01 20:38:56,2018-11-01 20:38:56,ziojews
QoVZRw zv,402,yellow invaders,Accusative term for refugees or immigrants from Asia,,True,,,eng,yellow invader,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:54,2018-11-01 20:38:54,yellow invader
WPRqUZoAA,403,yellows,A person of Asian descent.,A color,False,,88.0,eng,yellow,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:54,2018-11-01 20:38:54,yellow
EZQUVuQzZ,404,yids,"A Jewish person, although it is an endonym among Yiddish-speaking Jews. (The term is also used positively in Britain for Tottenham Hotspur fans (often proudly by themselves, for example calling themselves 'the Yid Army'), which includes a large Jewish supporting base from north-east London.)",,True,,,eng,yid,,,False,True,False,False,False,False,False,774,105,9,2018-11-01 20:38:54,2018-11-01 20:38:54,yids
x4viobdHm,405,yobbos,"In the UK, Australia or New Zealand, an unsophisticated, antisocial, drunken and/or lower class person",,False,,,eng,yobbo,,,False,False,False,False,False,False,True,334,72,20,2018-11-01 20:38:54,2018-11-01 20:38:54,yobbo
xDBXGFEwM,406,yobs,"In the UK, Australia or New Zealand, an unsophisticated, antisocial, drunken and/or lower class person",,False,,,eng,yob,,,False,False,False,False,False,False,True,193,8,0,2018-11-01 20:38:54,2018-11-01 20:38:54,yob
smzY4YaAD,407,Yanks,A term for Northerners used by Southerners within the United states or by non-Americans for Americans. From the Dutch Jan Kees ('John Cheese') meaning Englishman.,Pull,False,,,eng,Yank,,,True,False,False,False,False,False,False,0,0,0,2018-11-01 20:38:53,2018-11-01 20:38:53,yanks
jUUBYKUKJ,408,yard apes,A black person,,True,,,eng,yard ape,,,False,True,False,False,False,False,False,24,14,0,2018-11-01 20:38:53,2018-11-01 20:38:53,yard ape
vojYrfuhn,409,yardies,"[1] A person from Jamaica, sometimes derogatory, referring to gang membership or low economic status. [2] In the UK, can be used broadly to denote a black person with gang association and/or engaging in criminal behavior.",,False,,,eng,yardie,,,True,True,False,False,False,False,True,0,0,0,2018-11-01 20:38:53,2018-11-01 20:38:53,yardies
fTGQYFHUq,410,yellow bones,[1] A black female with light skin. [2] A black female of mixed heritage.,,False,,,eng,yellow bone,,,False,True,False,False,False,False,False,229,144,25,2018-11-01 20:38:53,2018-11-01 20:38:53,yellow bone
gmronnNyG,411,wogs,"A swarthy or dark-skinned foreigner. Possibly derived from 'golliwogg' In Britain, it usually refers to dark skinned people from Asia or Africa, though some use the term to refer to anyone outside the borders of their own country. In Australia the term 'wog' is usually used to refer to Mediterranean Europeans (Spaniards, Italians, and Greeks) although it can be used for some Eastern Europeans, particularly those of the Balkans (Bosnians, Macedonians, Serbians, Croatians, or Albanians).",,True,,,eng,wog,,,True,True,False,False,False,False,False,996,137,18,2018-11-01 20:38:52,2018-11-01 20:38:52,wog
HPytDzfra,412,wops,"A person of Italian descent, derived from the Italian dialectism, 'guappo,' close to 'dude, swaggerer' and other informal appellations, a greeting among male Neapolitans.",,True,,63.0,eng,wop,,,True,False,False,False,False,False,False,737,149,19,2018-11-01 20:38:52,2018-11-01 20:38:52,wop
tafapiusm,413,wopspeak,The Italian language,,True,,96.0,eng,,wop,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:52,2018-11-01 20:38:52,wopspeak
LWUehyTeB,414,Yankees,A term for Northerners used by Southerners within the United states or by non-Americans for Americans. From the Dutch Jan Kees ('John Cheese') meaning Englishman.,,False,,,eng,Yankee,,,True,False,False,False,False,False,False,0,0,0,2018-11-01 20:38:52,2018-11-01 20:38:52,yankee
Zmm2kVbjE,415,wiggas,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,True,,,eng,wigga,,,True,True,False,False,False,False,False,1436,262,41,2018-11-01 20:38:51,2018-11-01 20:38:51,wiggas
KokCnGPcV,416,wiggerettes,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,True,,,eng,wiggerette,,,True,True,False,False,False,False,False,1,0,0,2018-11-01 20:38:51,2018-11-01 20:38:51,wiggerettes
oxfgmefpr,417,wiggers,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,True,,,eng,wigger,,,True,True,False,False,False,False,False,153,30,2,2018-11-01 20:38:51,2018-11-01 20:38:51,wiggers
kgKxXeTfZ,418,winks,"A Caucasian who emulates, or associates with, Chinese people.",A deliberate blink of one eye,False,,,eng,wink,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:51,2018-11-01 20:38:51,wink
Lq7fbfLtc,419,whiggers,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,True,,,eng,whigger,,,True,True,False,False,False,False,False,161,31,1,2018-11-01 20:38:50,2018-11-01 20:38:50,whiggers
 jUV4KZZt,420,white niggers,"[1] Used in 19th-century United States to refer to the Irish. [2] Sometimes used today in reference to white people in a manner similar to white trash or redneck. [3] Also refers to white youth that imitate urban black youth by means of clothing style, mannerisms, and slang speech. The 'w' at the start of wigger refers to the white person and the 'igger' refers to nigger, which is a racial slur for black people. [4] Also used by radical Quebecois in self-reference, as in the seminal 1968 book White Niggers of America.",,True,,,eng,white nigger,,,True,True,False,False,False,False,False,19,1,0,2018-11-01 20:38:50,2018-11-01 20:38:50,white nigger
jnoQfbmtt,421,whities,A Caucasian.,,False,,75.0,eng,whitey,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:50,2018-11-01 20:38:50,whities
xZuno8swv,422,WICs,Acronym for White Irish Catholic.,,False,,,eng,WIC,,,False,True,True,False,False,False,False,0,0,0,2018-11-01 20:38:50,2018-11-01 20:38:50,wics
YhHYLhAMB,423,wegroes,A white person who is acting like a black person,,True,,,eng,wegro,,,False,True,False,False,False,False,False,6,2,0,2018-11-01 20:38:49,2018-11-01 20:38:49,wegroes
DVoCcFbTq,424,wetbacks,"A person of Latino descent, particularly a Mexican migrant laborer.",,True,,,eng,wetback,,,False,True,False,False,False,False,False,963,176,11,2018-11-01 20:38:49,2018-11-01 20:38:49,wetbacks
b2EWATroi,425,wexicans,A person of mixed Caucasian and Mexican parentage.,,True,,,eng,wexican,,,True,True,False,False,False,False,False,29,7,0,2018-11-01 20:38:49,2018-11-01 20:38:49,wexicans
ypaTZ2vrR,426,whiggas,A white person who is acting like a black person,,True,,63.0,eng,whigga,,,False,True,False,False,False,False,False,140,27,2,2018-11-01 20:38:49,2018-11-01 20:38:49,whiggas
zRaERskxB,427,WASPs,"Acronym for White Anglo-Saxton Protestant, and often synonymous with rectitude.",An insect,False,,25.0,eng,WASP,,,False,True,True,False,False,False,False,0,0,0,2018-11-01 20:38:48,2018-11-01 20:38:48,wasps
eJfRMANRk,428,uncircumcised baboons,A name to call the Luos ethnic group in Kenya,,False,,,eng,uncircumcised baboon,,,False,True,False,False,False,False,False,1,0,0,2018-11-01 20:38:47,2018-11-01 20:38:47,uncircumcised baboon
xsRQpaGf2,429,Uncle Toms,A black person perceived as behaving in a subservient manner to white authority figures.,A person's name,True,,100.0,eng,Uncle Tom,,,False,True,False,False,False,False,False,529,83,3,2018-11-01 20:38:47,2018-11-01 20:38:47,uncle toms
ZCx7dvPTY,430,Velcro heads,A black person (referencing stereotypical hair type).,,True,,,eng,Velcro head,,,False,True,False,False,False,False,False,1,0,0,2018-11-01 20:38:47,2018-11-01 20:38:47,velcro head
pcGcvDVdd,431,wagon burners,A Native American person.,,True,,,eng,wagon burner,,,False,True,False,False,False,False,False,45,9,0,2018-11-01 20:38:47,2018-11-01 20:38:47,wagon burner
6vym7Cqym,432,tynkers,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,False,,,eng,tynker,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:46,2018-11-01 20:38:46,tynkers
YrmkPjykF,433,Ubangees,"A black person, particularly a black woman, from the Ubangi people of Africa",,False,,,eng,Ubangee,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:46,2018-11-01 20:38:46,ubangees
TxcyMB6Ct,434,Ubangis,"A black person, particularly a black woman, from the Ubangi people of Africa",,False,,,eng,Ubangi,,,False,True,False,False,False,False,False,5,0,0,2018-11-01 20:38:46,2018-11-01 20:38:46,ubangis
AcbVMPsHB,435,tyncars,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,False,,,eng,tyncar,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:45,2018-11-01 20:38:45,tyncars
BgArqqEGs,436,tynekeres,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,False,,,eng,tynekere,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:45,2018-11-01 20:38:45,tynekeres
MNTzAWQJJ,437,tynkards,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,False,,,eng,tynkard,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:45,2018-11-01 20:38:45,tynkards
WWaAZNLqi,438,tynkares,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,False,,,eng,tynkare,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:45,2018-11-01 20:38:45,tynkares
VFaKdEPFe,439,tynkeres,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,False,,,eng,tynkere,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:45,2018-11-01 20:38:45,tynkeres
xMvg2UkAs,440,tree niggers,A Native American person,,True,,100.0,eng,tree nigger,,,False,True,False,False,False,False,False,8,0,0,2018-11-01 20:38:44,2018-11-01 20:38:44,tree nigger
jtRpFtB86,441,tunnel diggers,"A Vietnamese person, from the tunnels dug by the Viet Cong to elude pursuit during the Vietnam war.",,False,,,eng,tunnel digger,,,True,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:44,2018-11-01 20:38:44,tunnel digger
JvTUWKoCQ,442,twats,"An idiot or offensive person, generally male, who is being compared to female genitalia",,False,,25.0,eng,twat,,,False,False,False,True,False,False,False,114,46,3,2018-11-01 20:38:44,2018-11-01 20:38:44,twats
kebKGExdt,443,Twinkies,"[1] A European American, with little or no social or blood links to any tribe, who claims to be an American Indian (Native American). [2] An Asian American who has become completely integrated into White American, or mainstream American culture.",A dessert snack,False,,,eng,Twinkie,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:44,2018-11-01 20:38:44,twinkies
GuYiHDLgo,444,towel heads,"An Arab, Indian Sikh or other individual of Middle Eastern or South Asian descent wearing traditional headdress such as turbans or keffiyehs. Sometimes used generically for all Islamic nations.",,True,,,eng,towel head,,,False,True,False,False,False,False,False,630,89,11,2018-11-01 20:38:43,2018-11-01 20:38:43,towel head
ZxmhaszCv,445,trannies,Plural of 'tranny',,True,,75.0,eng,tranny,,,False,False,False,True,False,False,False,748,131,9,2018-11-01 20:38:43,2018-11-01 20:38:43,trannies
a78cihvkq,446,tree jumpers,"Used by poor rural people to denote those of lower status than themselves, particularly those who commit incest (jumping the family tree).",,False,,42.0,eng,tree jumper,,,False,False,False,False,False,False,True,23,1,0,2018-11-01 20:38:43,2018-11-01 20:38:43,tree jumper
eTvLWJTPU,447,tinkars,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,False,,25.0,eng,tinkar,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:42,2018-11-01 20:38:42,tinkars
GFRZbZAkx,448,tinkeres,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,False,,,eng,tinkere,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:42,2018-11-01 20:38:42,tinkeres
KGHQVnkGq,449,tinkers,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",To experiment or attempt to fix,False,,75.0,eng,tinker,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:42,2018-11-01 20:38:42,tinker
GmXWmbhfi,450,Tommies,"German slang for a British person, particular a soldier.",A person's name,False,,,eng,Tommy,,,True,False,False,False,False,False,False,0,0,0,2018-11-01 20:38:42,2018-11-01 20:38:42,tommies
AsYLiQYqv,451,tigers,A Tamil.,A predatory cat,False,,,eng,tiger,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:41,2018-11-01 20:38:41,tiger
MrfsxZVBM,452,timber niggers,A Native American.,,True,,,eng,timber nigger,,,False,True,False,False,False,False,False,1,0,0,2018-11-01 20:38:41,2018-11-01 20:38:41,timber nigger
rWCNKZbKQ,453,tinckers,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,False,,100.0,eng,tincker,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:41,2018-11-01 20:38:41,tinckers
FpHunEZVH,454,tinkards,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,False,,,eng,tinkard,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:41,2018-11-01 20:38:41,tinkards
PeQUEPzXm,455,teapots,A black person. [19th century],A vessel for steeping tea,False,,,eng,teapot,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:40,2018-11-01 20:38:40,teapot
ezQwuddeo,456,tenkers,"[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.",,False,,,eng,tenker,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:40,2018-11-01 20:38:40,tenkers
zmapznzWe,457,tard,Abbreviation of the term 'retard',,False,,70.0,eng,,retard,,False,False,False,False,False,True,False,23,7,1,2018-11-01 20:38:39,2018-11-01 20:38:39,tard
KhhcHgfdo,458,tarded,Abbreviation of the term 'retarded',,False,,99.0,eng,,retarded,,False,False,False,False,False,True,False,401,63,9,2018-11-01 20:38:39,2018-11-01 20:38:39,tarded
aXVDRGiHE,459,tards,Abbreviation of the term 'retard',,False,,50.0,eng,tard,,,False,False,False,False,False,True,False,245,46,3,2018-11-01 20:38:39,2018-11-01 20:38:39,tards
JgXswYMLe,460,teabaggers,"Pejorative reference to a conservative, right-wing and/or Republican person, particularly a member or advocate of the Tea Party movement. Originally used by the movement itself, until pejorative meaning developed.",,False,,,eng,teabagger,,,False,False,False,False,False,False,False,0,0,0,2018-11-01 20:38:39,2018-11-01 20:38:39,teabaggers
gzzTQszrG,461,suntans,A black person.,A darkening of skin pigmentation due to exposure to the sun,False,,,eng,suntan,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:38,2018-11-01 20:38:38,suntan
bPnWdfTou,462,taco niggers,An Hispanic person,,True,,,eng,taco nigger,,,False,True,False,False,False,False,False,2,0,0,2018-11-01 20:38:38,2018-11-01 20:38:38,taco nigger
LPsfBHZyM,463,Taffys,"A Welsh person. First used ca. 17th century. From the River Taff or the Welsh pronunciation of the name David (in Welsh, Dafydd). Children's rhyme: 'Taffy was a Welshman, Taffy was a thief'. Generally considered offensive when used by an English person.",[1] A person's name [2] A type of candy,False,,,eng,Taffy,,,True,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:38,2018-11-01 20:38:38,taffys
xJ3xzxRqa,464,tans,"A British person, derived from the Black and Tans, the nickname for an auxiliary British Army unit deployed to Ireland in the 1920s and which gained a reputation for brutality.",[1] A color [2] A suntan,False,,75.0,eng,tan,,,True,False,False,False,False,False,False,0,0,0,2018-11-01 20:38:38,2018-11-01 20:38:38,tan
FWDGGUctK,465,tar babies,A black child.,,True,,,eng,tar baby,,,False,True,False,False,False,False,False,214,66,1,2018-11-01 20:38:38,2018-11-01 20:38:38,tar baby
bXMvRDrrN,466,squinties,"A person of East Asian descent in reference to the appearance of the eyes, similar to 'slant'.",,False,,,eng,squinty,,,False,True,False,False,False,False,False,2,1,0,2018-11-01 20:38:37,2018-11-01 20:38:37,squinties
Q4nAYyFTK,467,steeks,"In Northern Ireland, a spide is a young working class male. A female is known as a millie.",,False,,,eng,steek,,,False,False,False,False,False,False,True,14,1,0,2018-11-01 20:38:37,2018-11-01 20:38:37,steeks
C4snjNot4,468,stovepipes,A black person.,,False,,,eng,stovepipe,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:37,2018-11-01 20:38:37,stovepipe
y6fxUas7r,469,stump jumpers,"Used by poor rural people to denote those of lower status than themselves, particularly those who commit incest (jumping the family tree).",,True,,,eng,stump jumper,,,False,False,False,False,False,False,True,47,4,1,2018-11-01 20:38:37,2018-11-01 20:38:37,stump jumper
BKYLUqQEF,470,spivs,"In the UK, a criminal dealing in counterfeit and/or stolen goods",,False,,13.0,eng,spiv,,,False,False,False,False,False,False,True,352,51,1,2018-11-01 20:38:36,2018-11-01 20:38:36,spiv
TbcMZtVGr,471,spooks,"A black person, originating from the 1940s.",[1] To scare [2] A spy,False,,,eng,spook,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:36,2018-11-01 20:38:36,spook
s4PUNJETQ,472,squareheads,"[1] A person of German, Dutch, or Scandinavian, esp. Swedish, origin. [2] A Caucasian person, especially a German. Refers to either the stereotyped shape of their heads, or to the shape of the Stalhelm M1916 steel helmet, or to its owner's stubbornness (like a block of wood).",,False,,,eng,squarehead,,,True,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:36,2018-11-01 20:38:36,squareheads
yAKKcXBiz,473,squaws,"A female Native American. Derived from lower East Coast Algonquian (Massachuset: ussqua), which originally meant 'young woman', but which took on strong negative connotations in the late 20th century.",,False,,100.0,eng,squaw,,,False,True,False,False,False,False,False,186,44,0,2018-11-01 20:38:36,2018-11-01 20:38:36,squaw
pwhe4Loqx,474,spiggotties,"A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.",,True,,,eng,spigotty,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:38:35,2018-11-01 20:38:35,spiggotties
bfse8pCbj,475,spigs,"A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.",,False,,,eng,spig,,,False,True,False,False,False,False,False,5,0,0,2018-11-01 20:38:35,2018-11-01 20:38:35,spigs
zrHzAaHXZ,476,spikes,A very High Church Anglican or Anglo-Catholic.,A large nail,False,,,eng,spike,,,False,False,True,False,False,False,False,0,0,0,2018-11-01 20:38:35,2018-11-01 20:38:35,spike
BpveHQHyC,477,spiks,"A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.",,False,,,eng,spik,,,False,True,False,False,False,False,False,35,5,0,2018-11-01 20:38:35,2018-11-01 20:38:35,spiks
